Brewery,Address,Contact_Info,latitude,longitude,City,County
Alameda Island Brewing Company,"1716 Park Street
Alameda, California, United States",http://alamedaislandbrewingcompany.com/,37.7683926,-122.2387777,Alameda,Alameda County
Faction Brewing,"2501 Monarch Street
Alameda, California, United States",http://factionbrewing.com/,37.786495,-122.3092901,Alameda,Alameda County
Ocean View Brew Works,"627 San Pablo Avenue
Albany, California, United States",https://www.oceanviewbrews.com/,37.8942076,-122.2999816,Albany,Alameda County
Ohana Brewing Company,"7 S 1st Street
Alhambra, California, United States",http://ohanabrew.com,34.0942875,-118.1278805,Alhambra,Los Angeles County
Alpine Beer Company,"2363 Alpine Blvd
Alpine, California, United States",http://alpinebeerco.com/home/,32.835185,-116.762648,Alpine,San Diego County
Bottle Logic Brewing,"1072 N. Armando St.
Anaheim, California, United States",http://bottlelogic.com,33.8494906,-117.8596231,Northeast Anaheim,Anaheim
Bruery Terreux,"737 Dunn Way
Anaheim, California, United States",http://www.brueryterreux.com,33.8617888,-117.8799987,Placentia,Orange County
Hoparazzi Brewing Co.,"D
2910 E La Palma Avenue
Anaheim, California, United States",+1 (714) 204-0655,33.849116,-117.86313,East La Palma Avenue,Northeast Anaheim
Noble Ale Works,"1621 S Sinclair St
Anaheim, California, United States",http://www.noblealeworks.com,33.808469,-117.8828344,Platinum Triangle,Anaheim
Redwood Curtain Brewing Company,"550 S G Street
Arcata, California, United States",https://www.redwoodcurtainbrewing.com,40.8571217,-124.0886848,Arcata,Humboldt County
Auburn Alehouse,"289 Washington Street
Auburn, California, United States",http://auburnalehouse.com,38.8954199,-121.0783693,Auburn,Placer County
Crooked Lane Brewing Company,"536 Grass Valley Highway
Auburn, California, United States",http://www.crookedlanebrewing.com,38.9094769,-121.0764299,Auburn,Placer County
Knee Deep Brewing Company,"13395 New Airport Rd.
Auburn, California, United States",http://kneedeepbrewing.com,38.9519068,-121.0802363,Auburn,Placer County
Moonraker Brewing Co.,"100
12970 Earhart Avenue
Auburn, California, United States",https://www.moonrakerbrewing.com,38.9505327,-121.0817476,Earhart Avenue,Auburn
Lengthwise Brewing Company,"7700 District Boulevard
Bakersfield, California, United States",http://lengthwise.com/,35.3133942,-119.0881046,Bakersfield,Kern County
